id,student_id,exercise_tracking_id,possible_answer_id,ans_inserted_at,ans_user_input,is_exercise_finished,exercise_tracking_started_at,exercise_tracking_finished_at,exercise_type_id
51590,1447,14690,15901,2024-05-21T08:56:25,world wide web,true,2024-05-21T08:56:19,2024-05-21T08:56:37,1497
51585,1447,14688,15898,2024-05-21T08:45:09,,true,2024-05-21T08:44:11,2024-05-21T08:45:09,1496
51584,1447,14688,15899,2024-05-21T08:45:06,,true,2024-05-21T08:44:11,2024-05-21T08:45:09,1496
51583,1447,14688,15895,2024-05-21T08:45:04,,true,2024-05-21T08:44:11,2024-05-21T08:45:09,1496
51582,1447,14688,15896,2024-05-21T08:45:00,,true,2024-05-21T08:44:11,2024-05-21T08:45:09,1496
51581,1447,14688,15894,2024-05-21T08:44:31,,true,2024-05-21T08:44:11,2024-05-21T08:45:09,1496
51580,1447,14688,15892,2024-05-21T08:44:22,,true,2024-05-21T08:44:11,2024-05-21T08:45:09,1496
51579,1447,14688,15893,2024-05-21T08:44:14,,true,2024-05-21T08:44:11,2024-05-21T08:45:09,1496
51578,1447,14687,15898,2024-05-21T08:44:01,,true,2024-05-21T08:43:44,2024-05-21T08:44:01,1496
51577,1447,14687,15895,2024-05-21T08:43:58,,true,2024-05-21T08:43:44,2024-05-21T08:44:01,1496
51576,1447,14687,15894,2024-05-21T08:43:50,,true,2024-05-21T08:43:44,2024-05-21T08:44:01,1496
51568,1447,14678,15719,2024-05-03T09:27:08,,true,2024-05-03T09:27:03,2024-05-03T09:27:09,1485
51567,1447,14678,15720,2024-05-03T09:27:05,,true,2024-05-03T09:27:03,2024-05-03T09:27:09,1485
51566,1447,14677,15719,2024-05-03T09:27:01,,true,2024-05-03T09:26:58,2024-05-03T09:27:01,1485
51555,1447,14672,15789,2024-04-24T08:06:03,,true,2024-04-24T08:05:03,2024-04-24T08:06:04,1488
51554,1447,14672,15786,2024-04-24T08:06:00,,true,2024-04-24T08:05:03,2024-04-24T08:06:04,1488
51553,1447,14672,15797,2024-04-24T08:05:50,,true,2024-04-24T08:05:03,2024-04-24T08:06:04,1488
51552,1447,14672,15806,2024-04-24T08:05:46,,true,2024-04-24T08:05:03,2024-04-24T08:06:04,1488
51551,1447,14672,15791,2024-04-24T08:05:43,,true,2024-04-24T08:05:03,2024-04-24T08:06:04,1488
51550,1447,14672,15792,2024-04-24T08:05:40,,true,2024-04-24T08:05:03,2024-04-24T08:06:04,1488
51549,1447,14672,15792,2024-04-24T08:05:35,,true,2024-04-24T08:05:03,2024-04-24T08:06:04,1488
51548,1447,14672,15800,2024-04-24T08:05:17,,true,2024-04-24T08:05:03,2024-04-24T08:06:04,1488
51547,1447,14672,15781,2024-04-24T08:05:14,,true,2024-04-24T08:05:03,2024-04-24T08:06:04,1488
51546,1447,14672,15776,2024-04-24T08:05:11,78,true,2024-04-24T08:05:03,2024-04-24T08:06:04,1488
51545,1447,14671,15719,2024-04-24T08:04:57,,true,2024-04-24T08:04:48,2024-04-24T08:04:58,1485
51544,1447,14671,15720,2024-04-24T08:04:52,,true,2024-04-24T08:04:48,2024-04-24T08:04:58,1485
51543,1447,14666,15719,2024-04-23T11:38:44,,true,2024-04-23T11:38:21,2024-04-23T11:38:45,1485
51542,1447,14666,15720,2024-04-23T11:38:37,,true,2024-04-23T11:38:21,2024-04-23T11:38:45,1485
51517,1447,14647,15744,2024-04-19T06:49:50,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51516,1447,14647,15759,2024-04-19T06:49:48,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51515,1447,14647,15755,2024-04-19T06:49:45,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51514,1447,14647,15766,2024-04-19T06:49:40,123.56,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51513,1447,14647,15767,2024-04-19T06:49:32,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51512,1447,14647,15769,2024-04-19T06:49:30,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51511,1447,14647,15768,2024-04-19T06:49:28,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51510,1447,14647,15768,2024-04-19T06:49:26,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51509,1447,14647,15768,2024-04-19T06:49:23,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51508,1447,14647,15770,2024-04-19T06:49:21,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51507,1447,14647,15769,2024-04-19T06:49:19,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51506,1447,14647,15769,2024-04-19T06:49:17,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51505,1447,14647,15749,2024-04-19T06:49:15,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51504,1447,14647,15748,2024-04-19T06:49:12,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51503,1447,14647,15735,2024-04-19T06:49:10,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51502,1447,14647,15736,2024-04-19T06:49:08,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51501,1447,14647,15736,2024-04-19T06:49:06,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51500,1447,14647,15750,2024-04-19T06:49:04,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51499,1447,14647,15752,2024-04-19T06:49:02,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51498,1447,14647,15754,2024-04-19T06:48:59,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51497,1447,14647,15754,2024-04-19T06:48:57,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51496,1447,14647,15752,2024-04-19T06:48:55,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51495,1447,14647,15752,2024-04-19T06:48:53,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51494,1447,14647,15754,2024-04-19T06:48:50,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51493,1447,14647,15740,2024-04-19T06:48:49,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51492,1447,14647,15743,2024-04-19T06:48:46,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51491,1447,14647,15739,2024-04-19T06:48:44,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51490,1447,14647,15738,2024-04-19T06:48:42,,true,2024-04-19T06:48:40,2024-04-19T06:49:51,1487
51489,1447,14646,15724,2024-04-19T06:46:30,6868,true,2024-04-19T06:45:58,2024-04-19T06:46:31,1486
51488,1447,14646,15722,2024-04-19T06:46:16,,true,2024-04-19T06:45:58,2024-04-19T06:46:31,1486
51487,1447,14646,15725,2024-04-19T06:46:14,123,true,2024-04-19T06:45:58,2024-04-19T06:46:31,1486
51486,1447,14646,15721,2024-04-19T06:46:10,,true,2024-04-19T06:45:58,2024-04-19T06:46:31,1486
51485,1447,14646,15725,2024-04-19T06:46:07,86,true,2024-04-19T06:45:58,2024-04-19T06:46:31,1486
51484,1447,14646,15721,2024-04-19T06:46:04,,true,2024-04-19T06:45:58,2024-04-19T06:46:31,1486
51483,1447,14646,15725,2024-04-19T06:46:01,15,true,2024-04-19T06:45:58,2024-04-19T06:46:31,1486
51482,1447,14645,15727,2024-04-19T06:45:48,6868,true,2024-04-19T06:45:37,2024-04-19T06:45:49,1486
51481,1447,14644,15789,2024-04-19T06:43:06,,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51480,1447,14644,15796,2024-04-19T06:43:01,,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51479,1447,14644,15806,2024-04-19T06:42:58,,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51478,1447,14644,15791,2024-04-19T06:42:55,,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51477,1447,14644,15790,2024-04-19T06:42:50,,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51476,1447,14644,15792,2024-04-19T06:42:47,,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51475,1447,14644,15774,2024-04-19T06:42:43,,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51474,1447,14644,15772,2024-04-19T06:42:39,,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51473,1447,14644,15773,2024-04-19T06:42:36,,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51472,1447,14644,15779,2024-04-19T06:42:32,,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51471,1447,14644,15795,2024-04-19T06:42:29,,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51470,1447,14644,15793,2024-04-19T06:42:27,,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51469,1447,14644,15799,2024-04-19T06:42:24,,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51468,1447,14644,15781,2024-04-19T06:42:22,,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51467,1447,14644,15776,2024-04-19T06:42:19,36,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51466,1447,14644,15782,2024-04-19T06:42:16,,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51465,1447,14644,15776,2024-04-19T06:42:13,23,true,2024-04-19T06:42:08,2024-04-19T06:43:06,1488
51464,1447,14643,15719,2024-04-19T06:33:06,,true,2024-04-19T06:32:57,2024-04-19T06:33:07,1485
51463,1447,14643,15720,2024-04-19T06:33:03,,true,2024-04-19T06:32:57,2024-04-19T06:33:07,1485
51462,1447,14643,15720,2024-04-19T06:33:00,,true,2024-04-19T06:32:57,2024-04-19T06:33:07,1485
51461,1447,14642,15719,2024-04-19T06:32:50,,true,2024-04-19T06:32:47,2024-04-19T06:32:50,1485
